pi_time,state_time,mot_ang,mot_vel,mot_acc,mot_volt,mot_cur,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang
1713469427.9944031,7231811,732,2,2,-344,-1268,23945,272,36,79,0,0,3902
1713469427.9981875,7231815,732,-4,1,-344,-1267,23945,272,36,79,0,0,3903
1713469428.0021725,7231819,733,6,2,-352,-1268,23945,272,36,79,0,0,3902
1713469428.006173,7231823,733,0,2,-352,-1268,23942,278,35,79,0,0,3902
1713469428.0101724,7231827,733,-1,0,-352,-1267,23942,278,35,79,0,0,3902
1713469428.0141695,7231831,733,0,-1,-352,-1269,23940,274,35,79,0,0,3902
1713469428.0181777,7231835,732,-2,0,-352,-1268,23940,274,35,79,0,0,3902
1713469428.02217,7231839,733,3,1,-344,-1267,23940,274,35,79,0,0,3902
1713469428.0261729,7231843,733,-4,0,-360,-1268,23938,255,36,79,0,0,3902
1713469428.0301676,7231847,732,-4,1,-360,-1265,23938,255,36,79,0,0,3902
1713469428.0341725,7231851,733,6,3,-352,-1264,23943,262,36,79,0,0,3902
1713469428.0381818,7231855,734,0,1,-344,-1265,23943,262,36,79,0,0,3902
1713469428.0421746,7231859,733,-1,1,-360,-1266,23943,262,36,79,0,0,3902
1713469428.0461762,7231863,732,-6,-6,-368,-1264,23944,270,36,79,0,0,3902
1713469428.050175,7231867,732,-1,-5,-344,-1268,23944,270,36,79,0,0,3902
1713469428.0541878,7231871,732,0,-4,-352,-1268,23945,275,36,79,0,0,3902
1713469428.058179,7231875,733,5,1,-360,-1267,23945,275,36,79,0,0,3902
1713469428.0621758,7231879,732,-3,1,-352,-1271,23945,275,36,79,0,0,3902
1713469428.066213,7231883,733,2,3,-352,-1269,23946,267,36,79,0,0,3902
1713469428.07018,7231887,733,4,2,-352,-1269,23946,267,36,79,0,0,3902
1713469428.074175,7231891,733,0,0,-352,-1268,23946,267,36,79,0,0,3903
1713469428.0788112,7231896,733,-2,1,-352,-1267,23946,267,36,79,0,0,3902
1713469428.0821764,7231899,732,-5,-1,-352,-1265,23946,267,36,79,0,0,3902
1713469428.0861773,7231903,733,7,2,-352,-1261,23942,266,36,79,0,0,3902
1713469428.0901744,7231907,733,-1,-1,-360,-1265,23942,266,36,79,0,0,3903
1713469428.09418,7231911,733,0,0,-344,-1268,23939,267,36,79,0,0,3902
1713469428.0981865,7231915,733,0,0,-344,-1269,23939,267,36,79,0,0,3902
1713469428.1021764,7231919,733,0,1,-352,-1267,23939,267,36,79,0,0,3902
1713469428.1061897,7231923,733,2,-1,-352,-1269,23941,262,36,79,0,0,3902
1713469428.1102145,7231927,733,-4,-1,-344,-1268,23941,262,36,79,0,0,3902
1713469428.1141753,7231931,733,1,0,-352,-1268,23945,258,36,79,0,0,3902
1713469428.1181798,7231935,733,0,-1,-352,-1267,23945,258,36,79,0,0,3902
1713469428.1221764,7231939,732,-4,-3,-336,-1267,23945,258,36,79,0,0,3902
1713469428.1262116,7231943,733,0,0,-344,-1265,23941,274,36,79,0,0,3902
1713469428.1301775,7231947,732,-2,-2,-352,-1263,23941,274,36,79,0,0,3902
1713469428.134173,7231951,733,1,0,-352,-1268,23940,290,36,79,0,0,3902
1713469428.1381707,7231955,732,0,-2,-360,-1267,23940,290,36,79,0,0,3903
1713469428.142169,7231959,731,-9,0,-352,-1266,23940,290,36,79,0,0,3902
1713469428.1461728,7231963,732,6,-2,-360,-1268,23935,288,36,79,0,0,3902
1713469428.1501703,7231967,732,-1,0,-352,-1269,23935,288,36,79,0,0,3902
1713469428.1542172,7231971,732,0,-2,-344,-1269,23939,281,35,79,0,0,3902
1713469428.1582003,7231975,735,13,2,-352,-1268,23939,281,35,79,0,0,3902
1713469428.1621733,7231979,733,-9,2,-352,-1268,23939,281,35,79,0,0,3902
1713469428.1661716,7231983,732,-2,-4,-352,-1267,23948,273,35,79,0,0,3902
1713469428.1701672,7231987,732,4,-5,-352,-1267,23948,273,35,79,0,0,3903
1713469428.1741679,7231991,733,3,-2,-352,-1264,23951,273,36,79,0,0,3902
1713469428.1781762,7231995,733,1,-2,-352,-1269,23951,273,36,79,0,0,3902
1713469428.182168,7231999,732,-3,-1,-352,-1267,23951,273,36,79,0,0,3902
1713469428.1861694,7232003,732,-1,0,-360,-1263,23952,275,36,79,0,0,3902
1713469428.1901665,7232007,733,4,0,-352,-1265,23952,275,36,79,0,0,3903
1713469428.1941729,7232011,732,-3,-2,-352,-1265,23944,278,36,79,0,0,3902
1713469428.198183,7232015,733,5,-2,-352,-1264,23944,278,36,79,0,0,3902
1713469428.2021873,7232019,733,-3,1,-352,-1267,23944,278,36,79,0,0,3903
1713469428.2061722,7232023,732,-2,-2,-344,-1270,23938,280,36,79,0,0,3903
1713469428.210169,7232027,733,4,3,-344,-1268,23938,280,36,79,0,0,3902
1713469428.2141683,7232031,732,-3,-1,-352,-1266,23934,279,35,79,0,0,3903
1713469428.218171,7232035,732,1,-2,-352,-1265,23934,279,35,79,0,0,3902
1713469428.22217,7232039,733,-1,1,-344,-1269,23934,279,35,79,0,0,3903
1713469428.2261708,7232043,734,4,5,-344,-1268,23933,286,35,79,0,0,3903
1713469428.230169,7232047,732,-6,-4,-344,-1264,23933,286,35,79,0,0,3902
1713469428.2341664,7232051,734,5,0,-352,-1264,23929,276,35,79,0,0,3902
1713469428.2381706,7232055,733,-7,0,-344,-1262,23929,276,35,79,0,0,3902
1713469428.2421792,7232059,731,-4,-5,-352,-1267,23929,276,35,79,0,0,3902
1713469428.2461727,7232063,733,6,-1,-352,-1268,23927,279,35,79,0,0,3902
1713469428.250201,7232067,733,-3,-2,-352,-1269,23927,279,35,79,0,0,3902
1713469428.2545094,7232071,733,5,2,-344,-1269,23927,269,35,79,0,0,3902
1713469428.258207,7232075,731,-5,-2,-352,-1270,23927,269,35,79,0,0,3902
1713469428.263806,7232081,733,-7,-1,-352,-1269,23932,267,36,79,0,0,3902
1713469428.266215,7232083,733,-3,-1,-352,-1269,23932,267,36,79,0,0,3902
1713469428.2702065,7232087,734,1,0,-344,-1267,23932,267,36,79,0,0,3902
1713469428.2742248,7232091,733,-3,-2,-352,-1266,23931,265,36,79,0,0,3902
1713469428.2858803,7232098,732,-5,-3,-344,-1267,23931,265,36,79,0,0,3903
1713469428.2874112,7232104,733,9,1,-360,-1267,23935,281,35,79,0,0,3903
1713469428.28886,7232106,733,0,0,-360,-1263,23935,281,35,79,0,0,3902
1713469428.2902715,7232107,733,0,3,-360,-1265,23935,281,35,79,0,0,3902
1713469428.294261,7232111,732,-6,0,-344,-1265,23932,280,35,79,0,0,3903
1713469428.2984817,7232115,732,0,2,-352,-1268,23932,280,35,79,0,0,3902
1713469428.302809,7232120,733,3,1,-352,-1268,23932,280,35,79,0,0,3901
1713469428.30622,7232123,732,-4,-2,-352,-1267,23935,269,35,79,0,0,3902
1713469428.3107762,7232128,733,0,-1,-352,-1270,23935,269,35,79,0,0,3902
1713469428.3148043,7232132,732,-2,-1,-352,-1269,23932,263,36,79,0,0,3902
1713469428.318212,7232135,732,0,0,-352,-1265,23932,263,36,79,0,0,3902
1713469428.3222287,7232139,733,7,-1,-352,-1269,23932,263,36,79,0,0,3902
1713469428.3262086,7232143,732,-2,0,-352,-1267,23932,255,36,79,0,0,3902
1713469428.330828,7232148,734,1,3,-360,-1266,23932,255,36,79,0,0,3902
1713469428.3345377,7232151,732,1,-4,-360,-1265,23933,260,36,79,0,0,3902
1713469428.3382144,7232155,734,2,-5,-352,-1262,23933,260,36,79,0,0,3902
1713469428.342276,7232159,732,-5,-4,-360,-1266,23933,260,36,79,0,0,3902
1713469428.3462994,7232163,732,-1,-2,-352,-1267,23933,261,35,79,0,0,3902
1713469428.3502822,7232167,734,7,2,-352,-1270,23933,261,35,79,0,0,3903
1713469428.354627,7232171,733,1,1,-352,-1271,23937,263,35,79,0,0,3902
1713469428.3589995,7232176,733,4,2,-360,-1270,23937,263,35,79,0,0,3902
1713469428.362267,7232179,733,-1,-1,-352,-1266,23937,263,35,79,0,0,3902
1713469428.3680763,7232184,732,3,0,-352,-1267,23935,264,35,79,0,0,3902
1713469428.3707755,7232187,733,-2,-2,-352,-1270,23935,264,35,79,0,0,3902
1713469428.3742523,7232191,732,-3,0,-352,-1268,23937,268,35,79,0,0,3902
1713469428.3782558,7232195,733,0,0,-352,-1267,23937,268,35,79,0,0,3902
1713469428.382254,7232199,733,0,3,-360,-1266,23937,268,35,79,0,0,3902
1713469428.386271,7232203,733,0,1,-352,-1264,23933,258,36,79,0,0,3902
1713469428.390257,7232207,731,-6,-4,-352,-1265,23933,258,36,79,0,0,3902
1713469428.3942585,7232211,732,3,1,-344,-1269,23933,252,35,79,0,0,3902
1713469428.3982563,7232215,733,1,-2,-344,-1268,23933,252,35,79,0,0,3903
1713469428.4022543,7232219,732,0,0,-352,-1269,23933,252,35,79,0,0,3903
1713469428.4062617,7232223,733,2,1,-352,-1269,23937,258,36,79,0,0,3902
1713469428.4102519,7232227,732,-2,2,-344,-1268,23937,258,36,79,0,0,3902
1713469428.4142535,7232231,734,10,2,-352,-1269,23939,260,36,79,0,0,3902
1713469428.4182527,7232235,733,-4,-1,-352,-1266,23939,260,36,79,0,0,3902
1713469428.4223075,7232239,733,-6,-6,-352,-1269,23939,260,36,79,0,0,3902
1713469428.426341,7232243,733,-2,-3,-344,-1268,23938,266,36,79,0,0,3903
1713469428.430258,7232247,734,0,-1,-352,-1266,23938,266,36,79,0,0,3902
1713469428.4342654,7232251,733,0,-5,-360,-1267,23934,264,36,79,0,0,3902
1713469428.4435718,7232260,732,4,4,-352,-1268,23934,264,36,79,0,0,3902
1713469428.4449143,7232262,733,0,-1,-344,-1268,23936,274,36,79,0,0,3902
1713469428.446279,7232263,732,-1,-2,-344,-1266,23936,274,36,79,0,0,3902
1713469428.4501722,7232267,733,5,-4,-352,-1268,23936,274,36,79,0,0,3902
1713469428.454173,7232271,733,-1,1,-352,-1266,23935,268,36,79,0,0,3902
1713469428.4581769,7232275,733,0,2,-352,-1269,23935,268,36,79,0,0,3903
1713469428.4621818,7232279,733,1,-1,-352,-1266,23935,268,36,79,0,0,3902
1713469428.4661722,7232283,732,-3,1,-344,-1265,23932,279,36,79,0,0,3903
1713469428.4701698,7232287,734,9,1,-352,-1267,23932,279,36,79,0,0,3902
1713469428.4741695,7232291,732,-6,7,-352,-1265,23931,273,35,79,0,0,3902
1713469428.4781768,7232295,733,4,-1,-352,-1269,23931,273,35,79,0,0,3902
1713469428.4821858,7232299,732,-2,3,-352,-1269,23931,273,35,79,0,0,3902
1713469428.4861789,7232303,734,6,1,-352,-1265,23934,274,36,79,0,0,3902
1713469428.4901712,7232307,732,-2,3,-352,-1267,23934,274,36,79,0,0,3902
1713469428.4941702,7232311,733,1,0,-344,-1267,23936,275,36,79,0,0,3902
1713469428.498173,7232315,733,5,1,-344,-1266,23936,275,36,79,0,0,3902
1713469428.5021687,7232319,732,-3,1,-352,-1270,23936,275,36,79,0,0,3902
1713469428.5061822,7232323,733,3,2,-352,-1269,23937,282,36,79,0,0,3903
1713469428.5133445,7232330,732,-3,1,-352,-1268,23937,282,36,79,0,0,3902
1713469428.5153677,7232332,732,-5,3,-360,-1268,23934,279,36,79,0,0,3902
1713469428.5181675,7232335,733,5,3,-344,-1265,23934,279,36,79,0,0,3903
1713469428.522181,7232339,733,1,0,-352,-1267,23934,279,36,79,0,0,3902
1713469428.5262084,7232343,733,0,2,-360,-1267,23936,273,36,79,0,0,3902
1713469428.530198,7232347,733,1,3,-352,-1265,23936,273,36,79,0,0,3902
1713469428.5341663,7232351,734,0,-2,-352,-1270,23936,282,36,79,0,0,3901
1713469428.5381734,7232355,733,-4,2,-344,-1266,23936,282,36,79,0,0,3902
1713469428.54217,7232359,732,-1,-5,-352,-1264,23936,282,36,79,0,0,3903
1713469428.546172,7232363,733,6,2,-352,-1266,23936,279,36,79,0,0,3901
1713469428.5501683,7232367,733,-3,1,-352,-1269,23936,279,36,79,0,0,3902
1713469428.5541787,7232371,733,0,0,-352,-1267,23935,284,36,79,0,0,3902
1713469428.5582085,7232375,733,2,3,-352,-1268,23935,284,36,79,0,0,3902
1713469428.5621655,7232379,731,-9,-5,-352,-1266,23935,284,36,79,0,0,3902
1713469428.5661695,7232383,732,3,-3,-344,-1268,23939,284,36,79,0,0,3901
1713469428.5701687,7232387,733,8,4,-352,-1268,23939,284,36,79,0,0,3902
1713469428.574169,7232391,732,-4,5,-352,-1266,23942,284,36,79,0,0,3901
1713469428.5781693,7232395,732,0,-2,-352,-1269,23942,284,36,79,0,0,3903
1713469428.5821671,7232399,733,3,1,-360,-1265,23942,284,36,79,0,0,3902
1713469428.5861712,7232403,733,0,1,-344,-1265,23943,277,36,79,0,0,3902
1713469428.5901692,7232407,733,-4,-1,-360,-1266,23943,277,36,79,0,0,3902
1713469428.5941687,7232411,733,2,3,-352,-1269,23940,274,36,79,0,0,3902
1713469428.5981715,7232415,733,4,0,-344,-1269,23940,274,36,79,0,0,3902
1713469428.6021647,7232419,734,4,-2,-360,-1267,23940,274,36,79,0,0,3903
1713469428.6061704,7232423,733,-1,1,-352,-1269,23940,264,35,79,0,0,3902
1713469428.610182,7232427,732,-5,-3,-344,-1268,23940,264,35,79,0,0,3901
1713469428.6141698,7232431,733,2,2,-352,-1268,23941,257,36,79,0,0,3902
1713469428.618168,7232435,733,-3,4,-344,-1267,23941,257,36,79,0,0,3902
1713469428.62217,7232439,733,1,1,-352,-1269,23941,257,36,79,0,0,3902
1713469428.626178,7232443,733,0,-4,-352,-1270,23944,271,36,79,0,0,3902
1713469428.6301835,7232447,733,0,-1,-344,-1265,23944,271,36,79,0,0,3902
1713469428.6341684,7232451,734,5,-2,-360,-1267,23942,271,36,79,0,0,3902
